,value_normalized
66,"[0.3333333333333333, 0.2]"
67,"[0.3333333333333333, 0.2, 1.0]"
68,"[0.3333333333333333, 0.2, 1.0, 1.0]"
69,"[0.3333333333333333, 0.2, 1.0, 1.0, 1.0]"
70,[1.0]
71,"[1.0, 1.0]"
72,"[1.0, 1.0, 0.1111111111111111]"
73,"[1.0, 1.0, 0.1111111111111111, 0.3846153846153846]"
74,[0.5384615384615384]
75,"[0.5384615384615384, 1.0]"
76,"[0.5384615384615384, 1.0, 1.0]"
77,"[0.5384615384615384, 1.0, 1.0, 1.0]"
78,[1.0]
79,"[1.0, 0.238095238095238]"
80,"[1.0, 0.238095238095238, 1.0]"
81,"[1.0, 0.238095238095238, 1.0, 1.0]"
82,"[1.0, 0.238095238095238, 1.0, 1.0, 1.0]"
83,[1.0]
84,"[1.0, 0.3333333333333333]"
85,"[1.0, 0.3333333333333333, 1.0]"
86,"[1.0, 0.3333333333333333, 1.0, 1.0]"
87,[0.3333333333333333]
88,"[0.3333333333333333, 1.0]"
89,"[0.3333333333333333, 1.0, 1.0]"
90,"[0.3333333333333333, 1.0, 1.0, 0.3333333333333333]"
91,"[0.3333333333333333, 1.0, 1.0, 0.3333333333333333, 0.3846153846153846]"
92,[1.0]
93,"[1.0, 1.0]"
94,"[1.0, 1.0, 0.4285714285714285]"
95,"[1.0, 1.0, 0.4285714285714285, 0.3333333333333333]"
96,[1.0]
97,"[1.0, 0.6190476190476191]"
98,"[1.0, 0.6190476190476191, 0.5555555555555556]"
99,"[1.0, 0.6190476190476191, 0.5555555555555556, 0.5555555555555556]"
100,[1.0]
101,"[1.0, 1.0]"
102,"[1.0, 1.0, 1.0]"
103,"[1.0, 1.0, 1.0, 0.1111111111111111]"
104,[0.6923076923076923]
105,"[0.6923076923076923, 1.0]"
106,"[0.6923076923076923, 1.0, 1.0]"
107,"[0.6923076923076923, 1.0, 1.0, 1.0]"
108,"[0.6923076923076923, 1.0, 1.0, 1.0, 1.0]"
109,[0.8]
110,"[0.8, 1.0]"
111,"[0.8, 1.0, 0.7777777777777778]"
112,"[0.8, 1.0, 0.7777777777777778, 1.0]"
113,"[0.8, 1.0, 0.7777777777777778, 1.0, 1.0]"
114,[1.0]
115,"[1.0, 1.0]"
116,"[1.0, 1.0, 1.0]"
117,[1.0]
118,"[1.0, 1.0]"
119,"[1.0, 1.0, 0.5555555555555556]"
120,"[1.0, 1.0, 0.5555555555555556, 0.3333333333333333]"
121,"[1.0, 1.0, 0.5555555555555556, 0.3333333333333333, 0.7777777777777778]"
122,[0.3846153846153846]
123,"[0.3846153846153846, 1.0]"
124,"[0.3846153846153846, 1.0, 0.238095238095238]"
125,"[0.3846153846153846, 1.0, 0.238095238095238, 1.0]"
126,[0.8095238095238095]
127,"[0.8095238095238095, 1.0]"
128,"[0.8095238095238095, 1.0, 0.6923076923076923]"
129,"[0.8095238095238095, 1.0, 0.6923076923076923, 0.6666666666666666]"
130,"[0.8095238095238095, 1.0, 0.6923076923076923, 0.6666666666666666, 0.5555555555555556]"
131,[1.0]
132,"[1.0, 0.3333333333333333]"
133,"[1.0, 0.3333333333333333, 1.0]"
134,"[1.0, 0.3333333333333333, 1.0, 1.0]"
135,[1.0]
136,"[1.0, 0.6190476190476191]"
137,"[1.0, 0.6190476190476191, 1.0]"
138,"[1.0, 0.6190476190476191, 1.0, 1.0]"
139,"[1.0, 0.6190476190476191, 1.0, 1.0, 0.8]"
140,[1.0]
141,"[1.0, 0.7777777777777778]"
142,"[1.0, 0.7777777777777778, 1.0]"
143,"[1.0, 0.7777777777777778, 1.0, 0.5384615384615384]"
144,[1.0]
145,"[1.0, 1.0]"
146,"[1.0, 1.0, 1.0]"
147,"[1.0, 1.0, 1.0, 0.1111111111111111]"
148,"[1.0, 1.0, 1.0, 0.1111111111111111, 1.0]"
149,[1.0]
150,"[1.0, 1.0]"
151,"[1.0, 1.0, 1.0]"
152,"[1.0, 1.0, 1.0, 1.0]"
153,[1.0]
154,"[1.0, 1.0]"
155,"[1.0, 1.0, 1.0]"
156,"[1.0, 1.0, 1.0, 1.0]"
157,"[1.0, 1.0, 1.0, 1.0, 0.238095238095238]"
158,[0.3846153846153846]
159,"[0.3846153846153846, 1.0]"
160,"[0.3846153846153846, 1.0, 0.238095238095238]"
161,"[0.3846153846153846, 1.0, 0.238095238095238, 1.0]"
162,[1.0]
163,"[1.0, 0.8]"
164,"[1.0, 0.8, 0.5384615384615384]"
165,[1.0]
166,"[1.0, 0.6]"
167,"[1.0, 0.6, 0.238095238095238]"
168,"[1.0, 0.6, 0.238095238095238, 1.0]"
169,"[1.0, 0.6, 0.238095238095238, 1.0, 0.5555555555555556]"
170,[1.0]
171,"[1.0, 1.0]"
172,"[1.0, 1.0, 1.0]"
173,"[1.0, 1.0, 1.0, 0.3333333333333333]"
174,"[1.0, 1.0, 1.0, 0.3333333333333333, 1.0]"
175,[0.6666666666666666]
176,"[0.6666666666666666, 1.0]"
177,"[0.6666666666666666, 1.0, 0.3333333333333333]"
178,"[0.6666666666666666, 1.0, 0.3333333333333333, 1.0]"
179,"[0.6666666666666666, 1.0, 0.3333333333333333, 1.0, 1.0]"
180,[1.0]
181,"[1.0, 1.0]"
182,"[1.0, 1.0, 0.3333333333333333]"
183,"[1.0, 1.0, 0.3333333333333333, 0.3333333333333333]"
184,[1.0]
185,"[1.0, 0.3333333333333333]"
186,"[1.0, 0.3333333333333333, 1.0]"
187,"[1.0, 0.3333333333333333, 1.0, 0.8095238095238095]"
188,[1.0]
189,"[1.0, 1.0]"
190,"[1.0, 1.0, 0.5555555555555556]"
191,"[1.0, 1.0, 0.5555555555555556, 1.0]"
192,[0.238095238095238]
193,"[0.238095238095238, 0.3846153846153846]"
194,"[0.238095238095238, 0.3846153846153846, 1.0]"
195,"[0.238095238095238, 0.3846153846153846, 1.0, 1.0]"
196,"[0.238095238095238, 0.3846153846153846, 1.0, 1.0, 1.0]"
197,[1.0]
198,"[1.0, 1.0]"
199,"[1.0, 1.0, 1.0]"
200,"[1.0, 1.0, 1.0, 1.0]"
201,[1.0]
202,"[1.0, 0.3846153846153846]"
203,"[1.0, 0.3846153846153846, 1.0]"
204,"[1.0, 0.3846153846153846, 1.0, 1.0]"
205,[0.3333333333333333]
206,"[0.3333333333333333, 0.7777777777777778]"
207,"[0.3333333333333333, 0.7777777777777778, 0.6]"
208,"[0.3333333333333333, 0.7777777777777778, 0.6, 0.4285714285714285]"
209,[0.6666666666666666]
210,"[0.6666666666666666, 1.0]"
211,"[0.6666666666666666, 1.0, 0.2]"
212,"[0.6666666666666666, 1.0, 0.2, 1.0]"
213,"[0.6666666666666666, 1.0, 0.2, 1.0, 1.0]"
214,[1.0]
215,"[1.0, 0.1111111111111111]"
216,"[1.0, 0.1111111111111111, 0.3846153846153846]"
217,"[1.0, 0.1111111111111111, 0.3846153846153846, 0.4285714285714285]"
218,"[1.0, 0.1111111111111111, 0.3846153846153846, 0.4285714285714285, 0.5555555555555556]"
219,[0.238095238095238]
220,"[0.238095238095238, 1.0]"
221,"[0.238095238095238, 1.0, 0.3846153846153846]"
222,"[0.238095238095238, 1.0, 0.3846153846153846, 1.0]"
223,"[0.238095238095238, 1.0, 0.3846153846153846, 1.0, 0.1111111111111111]"
224,[1.0]
225,"[1.0, 1.0]"
226,"[1.0, 1.0, 1.0]"
227,"[1.0, 1.0, 1.0, 1.0]"
228,"[1.0, 1.0, 1.0, 1.0, 0.3333333333333333]"
229,[1.0]
230,"[1.0, 1.0]"
231,"[1.0, 1.0, 0.5555555555555556]"
232,"[1.0, 1.0, 0.5555555555555556, 1.0]"
233,"[1.0, 1.0, 0.5555555555555556, 1.0, 0.7777777777777778]"
234,[1.0]
235,"[1.0, 0.3333333333333333]"
236,"[1.0, 0.3333333333333333, 0.7777777777777778]"
237,"[1.0, 0.3333333333333333, 0.7777777777777778, 1.0]"
238,"[1.0, 0.3333333333333333, 0.7777777777777778, 1.0, 1.0]"
239,[1.0]
240,"[1.0, 0.6190476190476191]"
241,"[1.0, 0.6190476190476191, 1.0]"
242,"[1.0, 0.6190476190476191, 1.0, 0.2]"
243,"[1.0, 0.6190476190476191, 1.0, 0.2, 1.0]"
244,[0.6]
245,"[0.6, 0.3846153846153846]"
246,"[0.6, 0.3846153846153846, 1.0]"
247,"[0.6, 0.3846153846153846, 1.0, 0.6666666666666666]"
248,"[0.6, 0.3846153846153846, 1.0, 0.6666666666666666, 1.0]"
249,[1.0]
250,"[1.0, 1.0]"
251,"[1.0, 1.0, 0.6666666666666666]"
252,"[1.0, 1.0, 0.6666666666666666, 1.0]"
253,[1.0]
254,"[1.0, 1.0]"
255,"[1.0, 1.0, 1.0]"
256,"[1.0, 1.0, 1.0, 1.0]"
257,"[1.0, 1.0, 1.0, 1.0, 0.6923076923076923]"
258,[1.0]
259,"[1.0, 0.3333333333333333]"
260,"[1.0, 0.3333333333333333, 0.3846153846153846]"
261,"[1.0, 0.3333333333333333, 0.3846153846153846, 1.0]"
262,"[1.0, 0.3333333333333333, 0.3846153846153846, 1.0, 1.0]"
263,[1.0]
264,"[1.0, 1.0]"
265,"[1.0, 1.0, 0.6]"
266,"[1.0, 1.0, 0.6, 1.0]"
267,"[1.0, 1.0, 0.6, 1.0, 0.4285714285714285]"
268,[0.3333333333333333]
269,"[0.3333333333333333, 1.0]"
270,"[0.3333333333333333, 1.0, 1.0]"
271,"[0.3333333333333333, 1.0, 1.0, 1.0]"
272,[1.0]
273,"[1.0, 0.7777777777777778]"
274,"[1.0, 0.7777777777777778, 0.2]"
275,"[1.0, 0.7777777777777778, 0.2, 0.4285714285714285]"
276,"[1.0, 0.7777777777777778, 0.2, 0.4285714285714285, 1.0]"
277,[1.0]
278,"[1.0, 0.8]"
279,"[1.0, 0.8, 0.6666666666666666]"
280,"[1.0, 0.8, 0.6666666666666666, 1.0]"
281,"[1.0, 0.8, 0.6666666666666666, 1.0, 1.0]"
282,[1.0]
283,"[1.0, 0.3333333333333333]"
284,"[1.0, 0.3333333333333333, 1.0]"
285,"[1.0, 0.3333333333333333, 1.0, 0.5555555555555556]"
286,[0.6666666666666666]
287,"[0.6666666666666666, 0.8095238095238095]"
288,"[0.6666666666666666, 0.8095238095238095, 1.0]"
289,"[0.6666666666666666, 0.8095238095238095, 1.0, 1.0]"
290,"[0.6666666666666666, 0.8095238095238095, 1.0, 1.0, 0.5555555555555556]"
291,[0.5555555555555556]
292,"[0.5555555555555556, 1.0]"
293,"[0.5555555555555556, 1.0, 1.0]"
294,"[0.5555555555555556, 1.0, 1.0, 1.0]"
295,[1.0]
296,"[1.0, 1.0]"
297,"[1.0, 1.0, 1.0]"
298,"[1.0, 1.0, 1.0, 0.1111111111111111]"
299,[1.0]
300,"[1.0, 0.5555555555555556]"
301,"[1.0, 0.5555555555555556, 1.0]"
302,"[1.0, 0.5555555555555556, 1.0, 1.0]"
303,"[1.0, 0.5555555555555556, 1.0, 1.0, 1.0]"
304,[0.6190476190476191]
305,"[0.6190476190476191, 0.3846153846153846]"
306,"[0.6190476190476191, 0.3846153846153846, 1.0]"
307,"[0.6190476190476191, 0.3846153846153846, 1.0, 1.0]"
308,"[0.6190476190476191, 0.3846153846153846, 1.0, 1.0, 1.0]"
309,[0.3333333333333333]
310,"[0.3333333333333333, 0.8461538461538461]"
311,"[0.3333333333333333, 0.8461538461538461, 1.0]"
312,"[0.3333333333333333, 0.8461538461538461, 1.0, 1.0]"
313,"[0.3333333333333333, 0.8461538461538461, 1.0, 1.0, 1.0]"
314,[1.0]
315,"[1.0, 0.6923076923076923]"
316,"[1.0, 0.6923076923076923, 1.0]"
317,"[1.0, 0.6923076923076923, 1.0, 0.6666666666666666]"
318,"[1.0, 0.6923076923076923, 1.0, 0.6666666666666666, 1.0]"
319,[1.0]
320,"[1.0, 0.6190476190476191]"
321,"[1.0, 0.6190476190476191, 0.6666666666666666]"
322,"[1.0, 0.6190476190476191, 0.6666666666666666, 1.0]"
323,[0.1111111111111111]
324,"[0.1111111111111111, 1.0]"
325,"[0.1111111111111111, 1.0, 1.0]"
326,"[0.1111111111111111, 1.0, 1.0, 0.5555555555555556]"
327,"[0.1111111111111111, 1.0, 1.0, 0.5555555555555556, 1.0]"
328,[0.5555555555555556]
329,"[0.5555555555555556, 1.0]"
330,"[0.5555555555555556, 1.0, 1.0]"
331,"[0.5555555555555556, 1.0, 1.0, 1.0]"
332,[0.3333333333333333]
333,"[0.3333333333333333, 1.0]"
334,"[0.3333333333333333, 1.0, 1.0]"
335,"[0.3333333333333333, 1.0, 1.0, 0.8095238095238095]"
336,[1.0]
337,"[1.0, 0.8095238095238095]"
338,"[1.0, 0.8095238095238095, 1.0]"
339,"[1.0, 0.8095238095238095, 1.0, 0.5555555555555556]"
340,[1.0]
341,"[1.0, 1.0]"
342,"[1.0, 1.0, 1.0]"
343,"[1.0, 1.0, 1.0, 0.2]"
344,[0.8095238095238095]
345,"[0.8095238095238095, 1.0]"
346,"[0.8095238095238095, 1.0, 1.0]"
347,"[0.8095238095238095, 1.0, 1.0, 0.6666666666666666]"
348,"[0.8095238095238095, 1.0, 1.0, 0.6666666666666666, 0.3846153846153846]"
349,[0.5555555555555556]
350,"[0.5555555555555556, 1.0]"
351,"[0.5555555555555556, 1.0, 1.0]"
352,"[0.5555555555555556, 1.0, 1.0, 1.0]"
353,[1.0]
354,"[1.0, 0.5555555555555556]"
355,"[1.0, 0.5555555555555556, 1.0]"
356,"[1.0, 0.5555555555555556, 1.0, 1.0]"
357,[1.0]
358,"[1.0, 1.0]"
359,"[1.0, 1.0, 0.5555555555555556]"
360,"[1.0, 1.0, 0.5555555555555556, 0.3333333333333333]"
361,"[1.0, 1.0, 0.5555555555555556, 0.3333333333333333, 1.0]"
362,[1.0]
363,"[1.0, 0.6666666666666666]"
364,"[1.0, 0.6666666666666666, 0.3333333333333333]"
365,"[1.0, 0.6666666666666666, 0.3333333333333333, 1.0]"
366,"[1.0, 0.6666666666666666, 0.3333333333333333, 1.0, 1.0]"
367,[1.0]
368,"[1.0, 1.0]"
369,"[1.0, 1.0, 1.0]"
370,"[1.0, 1.0, 1.0, 0.7777777777777778]"
371,"[1.0, 1.0, 1.0, 0.7777777777777778, 0.4285714285714285]"
372,[1.0]
373,"[1.0, 1.0]"
374,"[1.0, 1.0, 0.5555555555555556]"
375,"[1.0, 1.0, 0.5555555555555556, 0.8095238095238095]"
376,[0.7777777777777778]
377,"[0.7777777777777778, 0.6190476190476191]"
378,"[0.7777777777777778, 0.6190476190476191, 1.0]"
379,"[0.7777777777777778, 0.6190476190476191, 1.0, 0.8]"
380,"[0.7777777777777778, 0.6190476190476191, 1.0, 0.8, 1.0]"
381,[0.8461538461538461]
382,"[0.8461538461538461, 1.0]"
383,"[0.8461538461538461, 1.0, 0.3333333333333333]"
384,"[0.8461538461538461, 1.0, 0.3333333333333333, 0.7777777777777778]"
385,[1.0]
386,"[1.0, 0.3846153846153846]"
387,"[1.0, 0.3846153846153846, 1.0]"
388,"[1.0, 0.3846153846153846, 1.0, 0.1111111111111111]"
389,"[1.0, 0.3846153846153846, 1.0, 0.1111111111111111, 1.0]"
390,[1.0]
391,"[1.0, 1.0]"
392,"[1.0, 1.0, 1.0]"
393,"[1.0, 1.0, 1.0, 0.6]"
394,"[1.0, 1.0, 1.0, 0.6, 1.0]"
395,[1.0]
396,"[1.0, 0.1111111111111111]"
397,"[1.0, 0.1111111111111111, 0.8095238095238095]"
398,"[1.0, 0.1111111111111111, 0.8095238095238095, 0.8]"
399,"[1.0, 0.1111111111111111, 0.8095238095238095, 0.8, 1.0]"
400,[1.0]
401,"[1.0, 1.0]"
402,"[1.0, 1.0, 1.0]"
403,"[1.0, 1.0, 1.0, 1.0]"
404,"[1.0, 1.0, 1.0, 1.0, 1.0]"
405,[1.0]
406,"[1.0, 1.0]"
407,"[1.0, 1.0, 1.0]"
408,"[1.0, 1.0, 1.0, 0.5384615384615384]"
409,[1.0]
410,"[1.0, 1.0]"
411,"[1.0, 1.0, 1.0]"
412,"[1.0, 1.0, 1.0, 0.1111111111111111]"
413,"[1.0, 1.0, 1.0, 0.1111111111111111, 1.0]"
414,[1.0]
415,"[1.0, 0.5384615384615384]"
416,"[1.0, 0.5384615384615384, 1.0]"
417,"[1.0, 0.5384615384615384, 1.0, 1.0]"
418,[0.6]
419,"[0.6, 1.0]"
420,"[0.6, 1.0, 1.0]"
421,"[0.6, 1.0, 1.0, 1.0]"
422,[1.0]
423,"[1.0, 1.0]"
424,"[1.0, 1.0, 1.0]"
425,[1.0]
426,"[1.0, 1.0]"
427,"[1.0, 1.0, 1.0]"
428,"[1.0, 1.0, 1.0, 1.0]"
429,[1.0]
430,"[1.0, 1.0]"
431,"[1.0, 1.0, 1.0]"
432,"[1.0, 1.0, 1.0, 1.0]"
433,[0.6190476190476191]
434,"[0.6190476190476191, 0.3846153846153846]"
435,"[0.6190476190476191, 0.3846153846153846, 1.0]"
436,"[0.6190476190476191, 0.3846153846153846, 1.0, 1.0]"
437,[1.0]
438,"[1.0, 0.6666666666666666]"
439,"[1.0, 0.6666666666666666, 1.0]"
440,"[1.0, 0.6666666666666666, 1.0, 1.0]"
441,[0.6923076923076923]
442,"[0.6923076923076923, 0.8095238095238095]"
443,"[0.6923076923076923, 0.8095238095238095, 1.0]"
444,[0.8095238095238095]
445,"[0.8095238095238095, 1.0]"
446,"[0.8095238095238095, 1.0, 1.0]"
447,[1.0]
448,"[1.0, 1.0]"
449,"[1.0, 1.0, 1.0]"
450,"[1.0, 1.0, 1.0, 1.0]"
451,[0.3846153846153846]
452,"[0.3846153846153846, 1.0]"
453,"[0.3846153846153846, 1.0, 1.0]"
454,"[0.3846153846153846, 1.0, 1.0, 0.5555555555555556]"
455,"[0.3846153846153846, 1.0, 1.0, 0.5555555555555556, 0.5555555555555556]"
456,[1.0]
457,"[1.0, 1.0]"
458,"[1.0, 1.0, 1.0]"
459,"[1.0, 1.0, 1.0, 1.0]"
460,"[1.0, 1.0, 1.0, 1.0, 1.0]"
461,[1.0]
462,"[1.0, 1.0]"
463,"[1.0, 1.0, 0.5555555555555556]"
464,"[1.0, 1.0, 0.5555555555555556, 0.6923076923076923]"
465,"[1.0, 1.0, 0.5555555555555556, 0.6923076923076923, 1.0]"
466,[1.0]
467,"[1.0, 0.6]"
468,"[1.0, 0.6, 0.1111111111111111]"
469,"[1.0, 0.6, 0.1111111111111111, 0.3333333333333333]"
470,[1.0]
471,"[1.0, 1.0]"
472,"[1.0, 1.0, 0.5555555555555556]"
473,"[1.0, 1.0, 0.5555555555555556, 0.6190476190476191]"
474,[1.0]
475,"[1.0, 1.0]"
476,"[1.0, 1.0, 1.0]"
477,"[1.0, 1.0, 1.0, 1.0]"
478,[0.2]
479,"[0.2, 1.0]"
480,"[0.2, 1.0, 1.0]"
481,"[0.2, 1.0, 1.0, 0.1111111111111111]"
482,[1.0]
483,"[1.0, 0.8095238095238095]"
484,"[1.0, 0.8095238095238095, 1.0]"
485,"[1.0, 0.8095238095238095, 1.0, 1.0]"
486,[1.0]
487,"[1.0, 1.0]"
488,"[1.0, 1.0, 1.0]"
489,"[1.0, 1.0, 1.0, 1.0]"
490,[1.0]
491,"[1.0, 0.6666666666666666]"
492,"[1.0, 0.6666666666666666, 1.0]"
493,[1.0]
494,"[1.0, 1.0]"
495,"[1.0, 1.0, 0.1111111111111111]"
496,"[1.0, 1.0, 0.1111111111111111, 1.0]"
497,"[1.0, 1.0, 0.1111111111111111, 1.0, 1.0]"
498,[1.0]
499,"[1.0, 1.0]"
500,"[1.0, 1.0, 1.0]"
501,"[1.0, 1.0, 1.0, 1.0]"
502,[1.0]
503,"[1.0, 1.0]"
504,"[1.0, 1.0, 1.0]"
505,"[1.0, 1.0, 1.0, 1.0]"
506,"[1.0, 1.0, 1.0, 1.0, 0.3333333333333333]"
507,[0.6]
508,"[0.6, 1.0]"
509,"[0.6, 1.0, 1.0]"
510,"[0.6, 1.0, 1.0, 1.0]"
511,"[0.6, 1.0, 1.0, 1.0, 1.0]"
512,[0.6923076923076923]
513,"[0.6923076923076923, 1.0]"
514,"[0.6923076923076923, 1.0, 1.0]"
515,"[0.6923076923076923, 1.0, 1.0, 0.6190476190476191]"
516,[1.0]
517,"[1.0, 1.0]"
518,"[1.0, 1.0, 1.0]"
519,[1.0]
520,"[1.0, 0.3846153846153846]"
521,"[1.0, 0.3846153846153846, 1.0]"
522,"[1.0, 0.3846153846153846, 1.0, 1.0]"
523,[1.0]
524,"[1.0, 1.0]"
525,"[1.0, 1.0, 1.0]"
526,"[1.0, 1.0, 1.0, 0.3333333333333333]"
527,"[1.0, 1.0, 1.0, 0.3333333333333333, 1.0]"
528,[0.8095238095238095]
529,"[0.8095238095238095, 0.6923076923076923]"
530,"[0.8095238095238095, 0.6923076923076923, 1.0]"
531,"[0.8095238095238095, 0.6923076923076923, 1.0, 1.0]"
532,"[0.8095238095238095, 0.6923076923076923, 1.0, 1.0, 0.5555555555555556]"
533,[0.7777777777777778]
534,"[0.7777777777777778, 1.0]"
535,"[0.7777777777777778, 1.0, 0.8]"
536,"[0.7777777777777778, 1.0, 0.8, 0.3333333333333333]"
537,"[0.7777777777777778, 1.0, 0.8, 0.3333333333333333, 1.0]"
538,[0.7777777777777778]
539,"[0.7777777777777778, 1.0]"
540,"[0.7777777777777778, 1.0, 0.6]"
541,"[0.7777777777777778, 1.0, 0.6, 0.6190476190476191]"
542,[0.6666666666666666]
543,"[0.6666666666666666, 1.0]"
544,"[0.6666666666666666, 1.0, 1.0]"
545,"[0.6666666666666666, 1.0, 1.0, 1.0]"
546,"[0.6666666666666666, 1.0, 1.0, 1.0, 1.0]"
547,[0.2]
548,"[0.2, 1.0]"
549,"[0.2, 1.0, 1.0]"
550,"[0.2, 1.0, 1.0, 1.0]"
551,"[0.2, 1.0, 1.0, 1.0, 1.0]"
552,[1.0]
553,"[1.0, 1.0]"
554,"[1.0, 1.0, 1.0]"
555,[1.0]
556,"[1.0, 0.6666666666666666]"
557,"[1.0, 0.6666666666666666, 1.0]"
558,"[1.0, 0.6666666666666666, 1.0, 1.0]"
559,"[1.0, 0.6666666666666666, 1.0, 1.0, 1.0]"
560,[0.2]
561,"[0.2, 1.0]"
562,"[0.2, 1.0, 0.7777777777777778]"
563,"[0.2, 1.0, 0.7777777777777778, 1.0]"
564,[1.0]
565,"[1.0, 1.0]"
566,"[1.0, 1.0, 0.1111111111111111]"
567,"[1.0, 1.0, 0.1111111111111111, 1.0]"
568,"[1.0, 1.0, 0.1111111111111111, 1.0, 1.0]"
569,[0.6190476190476191]
570,"[0.6190476190476191, 1.0]"
571,"[0.6190476190476191, 1.0, 1.0]"
572,"[0.6190476190476191, 1.0, 1.0, 1.0]"
573,"[0.6190476190476191, 1.0, 1.0, 1.0, 1.0]"
574,[0.6]
575,"[0.6, 0.3333333333333333]"
576,"[0.6, 0.3333333333333333, 0.5384615384615384]"
577,"[0.6, 0.3333333333333333, 0.5384615384615384, 1.0]"
578,[1.0]
579,"[1.0, 0.6]"
580,"[1.0, 0.6, 1.0]"
581,"[1.0, 0.6, 1.0, 1.0]"
582,"[1.0, 0.6, 1.0, 1.0, 1.0]"
583,[1.0]
584,"[1.0, 1.0]"
585,"[1.0, 1.0, 0.6666666666666666]"
586,"[1.0, 1.0, 0.6666666666666666, 0.3846153846153846]"
587,"[1.0, 1.0, 0.6666666666666666, 0.3846153846153846, 1.0]"
588,[0.5555555555555556]
589,"[0.5555555555555556, 1.0]"
590,"[0.5555555555555556, 1.0, 1.0]"
591,"[0.5555555555555556, 1.0, 1.0, 1.0]"
592,[1.0]
593,"[1.0, 1.0]"
594,"[1.0, 1.0, 1.0]"
595,"[1.0, 1.0, 1.0, 1.0]"
596,"[1.0, 1.0, 1.0, 1.0, 0.3333333333333333]"
597,[0.8]
598,"[0.8, 0.3333333333333333]"
599,"[0.8, 0.3333333333333333, 1.0]"
600,"[0.8, 0.3333333333333333, 1.0, 1.0]"
601,"[0.8, 0.3333333333333333, 1.0, 1.0, 1.0]"
602,[0.6666666666666666]
603,"[0.6666666666666666, 1.0]"
604,"[0.6666666666666666, 1.0, 0.3333333333333333]"
605,[1.0]
606,"[1.0, 1.0]"
607,"[1.0, 1.0, 0.6190476190476191]"
608,"[1.0, 1.0, 0.6190476190476191, 1.0]"
609,[0.8461538461538461]
610,"[0.8461538461538461, 0.5555555555555556]"
611,"[0.8461538461538461, 0.5555555555555556, 1.0]"
612,"[0.8461538461538461, 0.5555555555555556, 1.0, 0.6666666666666666]"
613,[1.0]
614,"[1.0, 0.5555555555555556]"
615,"[1.0, 0.5555555555555556, 1.0]"
616,"[1.0, 0.5555555555555556, 1.0, 0.8095238095238095]"
